Produit*_(sp.fk_product);Fournisseur*_(sp.fk_soc);Réf._produit_fournisseur_(sp.ref_fourn);Quantité minimum* (sp.quantity);Taux TVA (sp.tva_tx);Prix quantité min. HT* (sp.price);Prix unitaire HT* (sp.unitprice);Remise par défaut quantité min. (sp.remise_percent)
ZC454_REFLEKTOR-NARROW+DimDALI;ELKOVO;ZC454_REFLEKTOR-NARROW+DimDALI;1;20; 143.40 ; 143.40 ;0
ZC454_REFLEKTOR-NARROW+DimDSI;ELKOVO;ZC454_REFLEKTOR-NARROW+DimDSI;1;20; 152.28 ; 152.28 ;0
ZC454_REFLEKTOR-NARROW+NZ;ELKOVO;ZC454_REFLEKTOR-NARROW+NZ;1;20; 134.08 ; 134.08 ;0
ZC435_REFLEKTOR-NARROW;ELKOVO;ZC435_REFLEKTOR-NARROW;1;20; 114.24 ; 114.24 ;0
ZC435_REFLEKTOR-NARROW+Dim1-10V;ELKOVO;ZC435_REFLEKTOR-NARROW+Dim1-10V;1;20; 151.96 ; 151.96 ;0
ZC435_REFLEKTOR-NARROW+DimDALI;ELKOVO;ZC435_REFLEKTOR-NARROW+DimDALI;1;20; 161.56 ; 161.56 ;0
ZC435_REFLEKTOR-NARROW+DimDSI;ELKOVO;ZC435_REFLEKTOR-NARROW+DimDSI;1;20; 170.48 ; 170.48 ;0
ZC435_REFLEKTOR-NARROW+NZ;ELKOVO;ZC435_REFLEKTOR-NARROW+NZ;1;20; 152.24 ; 152.24 ;0
ZC449_REFLEKTOR-NARROW;ELKOVO;ZC449_REFLEKTOR-NARROW;1;20; 114.24 ; 114.24 ;0
ZC449_REFLEKTOR-NARROW+Dim1-10V;ELKOVO;ZC449_REFLEKTOR-NARROW+Dim1-10V;1;20; 151.96 ; 151.96 ;0
ZC449_REFLEKTOR-NARROW+DimDALI;ELKOVO;ZC449_REFLEKTOR-NARROW+DimDALI;1;20; 161.56 ; 161.56 ;0
ZC449_REFLEKTOR-NARROW+DimDSI;ELKOVO;ZC449_REFLEKTOR-NARROW+DimDSI;1;20; 170.48 ; 170.48 ;0
ZC449_REFLEKTOR-NARROW+NZ;ELKOVO;ZC449_REFLEKTOR-NARROW+NZ;1;20; 152.24 ; 152.24 ;0
ZC480_REFLEKTOR-NARROW;ELKOVO;ZC480_REFLEKTOR-NARROW;1;20; 127.68 ; 127.68 ;0
ZC480_REFLEKTOR-NARROW+Dim1-10V;ELKOVO;ZC480_REFLEKTOR-NARROW+Dim1-10V;1;20; 181.84 ; 181.84 ;0
ZC480_REFLEKTOR-NARROW+DimDALI;ELKOVO;ZC480_REFLEKTOR-NARROW+DimDALI;1;20; 185.28 ; 185.28 ;0
ZC480_REFLEKTOR-NARROW+DimDSI;ELKOVO;ZC480_REFLEKTOR-NARROW+DimDSI;1;20; 185.96 ; 185.96 ;0
ZC480_REFLEKTOR-NARROW+NZ;ELKOVO;ZC480_REFLEKTOR-NARROW+NZ;1;20; 165.68 ; 165.68 ;0
ZC228_REFLEKTOR-IP40;ELKOVO;ZC228_REFLEKTOR-IP40;1;20; 72.00 ; 72.00 ;0
ZC228_REFLEKTOR-IP40+Dim1-10V;ELKOVO;ZC228_REFLEKTOR-IP40+Dim1-10V;1;20; 90.84 ; 90.84 ;0
ZC228_REFLEKTOR-IP40+DimDALI;ELKOVO;ZC228_REFLEKTOR-IP40+DimDALI;1;20; 95.64 ; 95.64 ;0
ZC228_REFLEKTOR-IP40+DimDSI;ELKOVO;ZC228_REFLEKTOR-IP40+DimDSI;1;20; 100.12 ; 100.12 ;0
ZC228_REFLEKTOR-IP40+NZ;ELKOVO;ZC228_REFLEKTOR-IP40+NZ;1;20; 110.00 ; 110.00 ;0
ZC254_REFLEKTOR-IP40;ELKOVO;ZC254_REFLEKTOR-IP40;1;20; 72.00 ; 72.00 ;0
ZC254_REFLEKTOR-IP40+Dim1-10V;ELKOVO;ZC254_REFLEKTOR-IP40+Dim1-10V;1;20; 90.84 ; 90.84 ;0
ZC254_REFLEKTOR-IP40+DimDALI;ELKOVO;ZC254_REFLEKTOR-IP40+DimDALI;1;20; 95.64 ; 95.64 ;0
ZC254_REFLEKTOR-IP40+DimDSI;ELKOVO;ZC254_REFLEKTOR-IP40+DimDSI;1;20; 100.12 ; 100.12 ;0
ZC254_REFLEKTOR-IP40+NZ;ELKOVO;ZC254_REFLEKTOR-IP40+NZ;1;20; 110.00 ; 110.00 ;0
ZC235_REFLEKTOR-IP40;ELKOVO;ZC235_REFLEKTOR-IP40;1;20; 83.04 ; 83.04 ;0
ZC235_REFLEKTOR-IP40+Dim1-10V;ELKOVO;ZC235_REFLEKTOR-IP40+Dim1-10V;1;20; 101.88 ; 101.88 ;0
ZC235_REFLEKTOR-IP40+DimDALI;ELKOVO;ZC235_REFLEKTOR-IP40+DimDALI;1;20; 106.68 ; 106.68 ;0
ZC235_REFLEKTOR-IP40+DimDSI;ELKOVO;ZC235_REFLEKTOR-IP40+DimDSI;1;20; 111.16 ; 111.16 ;0
ZC235_REFLEKTOR-IP40+NZ;ELKOVO;ZC235_REFLEKTOR-IP40+NZ;1;20; 121.04 ; 121.04 ;0
ZC249_REFLEKTOR-IP40;ELKOVO;ZC249_REFLEKTOR-IP40;1;20; 83.04 ; 83.04 ;0
ZC249_REFLEKTOR-IP40+Dim1-10V;ELKOVO;ZC249_REFLEKTOR-IP40+Dim1-10V;1;20; 101.88 ; 101.88 ;0
ZC249_REFLEKTOR-IP40+DimDALI;ELKOVO;ZC249_REFLEKTOR-IP40+DimDALI;1;20; 106.68 ; 106.68 ;0
ZC249_REFLEKTOR-IP40+DimDSI;ELKOVO;ZC249_REFLEKTOR-IP40+DimDSI;1;20; 111.16 ; 111.16 ;0
ZC249_REFLEKTOR-IP40+NZ;ELKOVO;ZC249_REFLEKTOR-IP40+NZ;1;20; 121.04 ; 121.04 ;0
ZC280_REFLEKTOR-IP40;ELKOVO;ZC280_REFLEKTOR-IP40;1;20; 90.52 ; 90.52 ;0
ZC280_REFLEKTOR-IP40+Dim1-10V;ELKOVO;ZC280_REFLEKTOR-IP40+Dim1-10V;1;20; 117.60 ; 117.60 ;0
ZC280_REFLEKTOR-IP40+DimDALI;ELKOVO;ZC280_REFLEKTOR-IP40+DimDALI;1;20; 119.32 ; 119.32 ;0
ZC280_REFLEKTOR-IP40+DimDSI;ELKOVO;ZC280_REFLEKTOR-IP40+DimDSI;1;20; 119.68 ; 119.68 ;0
ZC280_REFLEKTOR-IP40+NZ;ELKOVO;ZC280_REFLEKTOR-IP40+NZ;1;20; 128.52 ; 128.52 ;0
ZC428_REFLEKTOR-IP40;ELKOVO;ZC428_REFLEKTOR-IP40;1;20; 114.24 ; 114.24 ;0
ZC428_REFLEKTOR-IP40+Dim1-10V;ELKOVO;ZC428_REFLEKTOR-IP40+Dim1-10V;1;20; 151.96 ; 151.96 ;0
ZC428_REFLEKTOR-IP40+DimDALI;ELKOVO;ZC428_REFLEKTOR-IP40+DimDALI;1;20; 161.56 ; 161.56 ;0
ZC428_REFLEKTOR-IP40+DimDSI;ELKOVO;ZC428_REFLEKTOR-IP40+DimDSI;1;20; 170.48 ; 170.48 ;0
ZC428_REFLEKTOR-IP40+NZ;ELKOVO;ZC428_REFLEKTOR-IP40+NZ;1;20; 152.24 ; 152.24 ;0
ZC454_REFLEKTOR-IP40;ELKOVO;ZC454_REFLEKTOR-IP40;1;20; 114.24 ; 114.24 ;0
ZC454_REFLEKTOR-IP40+Dim1-10V;ELKOVO;ZC454_REFLEKTOR-IP40+Dim1-10V;1;20; 151.96 ; 151.96 ;0
ZC454_REFLEKTOR-IP40+DimDALI;ELKOVO;ZC454_REFLEKTOR-IP40+DimDALI;1;20; 161.56 ; 161.56 ;0
ZC454_REFLEKTOR-IP40+DimDSI;ELKOVO;ZC454_REFLEKTOR-IP40+DimDSI;1;20; 170.48 ; 170.48 ;0
ZC454_REFLEKTOR-IP40+NZ;ELKOVO;ZC454_REFLEKTOR-IP40+NZ;1;20; 152.24 ; 152.24 ;0
ZC435_REFLEKTOR-IP40;ELKOVO;ZC435_REFLEKTOR-IP40;1;20; 125.76 ; 125.76 ;0
ZC435_REFLEKTOR-IP40+Dim1-10V;ELKOVO;ZC435_REFLEKTOR-IP40+Dim1-10V;1;20; 163.48 ; 163.48 ;0
ZC435_REFLEKTOR-IP40+DimDALI;ELKOVO;ZC435_REFLEKTOR-IP40+DimDALI;1;20; 173.08 ; 173.08 ;0
