Référence;Label;En Vente;Description;Prix vente HT;taux TVA;poids;volume;Image;Code douanier;code_barre
ZC280/REFLEKTOR-IP40+Dim1-10V;T5;1;T5 - 275 x 1520 x 90; 117.60 ; 20.00 ;;;;;
ZC280/REFLEKTOR-IP40+DimDALI;T5;1;T5 - 275 x 1520 x 90; 119.32 ; 20.00 ;;;;;
ZC280/REFLEKTOR-IP40+DimDSI;T5;1;T5 - 275 x 1520 x 90; 119.68 ; 20.00 ;;;;;
ZC280/REFLEKTOR-IP40+NZ;T5;1;T5 - 275 x 1520 x 90; 128.52 ; 20.00 ;;;;;
ZC428/REFLEKTOR-IP40;T5;1;T5 - 475 x 1220 x 90; 114.24 ; 20.00 ;;;;;
ZC428/REFLEKTOR-IP40+Dim1-10V;T5;1;T5 - 475 x 1220 x 90; 151.96 ; 20.00 ;;;;;
ZC428/REFLEKTOR-IP40+DimDALI;T5;1;T5 - 475 x 1220 x 90; 161.56 ; 20.00 ;;;;;
ZC428/REFLEKTOR-IP40+DimDSI;T5;1;T5 - 475 x 1220 x 90; 170.48 ; 20.00 ;;;;;
ZC428/REFLEKTOR-IP40+NZ;T5;1;T5 - 475 x 1220 x 90; 152.24 ; 20.00 ;;;;;
ZC454/REFLEKTOR-IP40;T5;1;T5 - 475 x 1220 x 90; 114.24 ; 20.00 ;;;;;
ZC454/REFLEKTOR-IP40+Dim1-10V;T5;1;T5 - 475 x 1220 x 90; 151.96 ; 20.00 ;;;;;
ZC454/REFLEKTOR-IP40+DimDALI;T5;1;T5 - 475 x 1220 x 90; 161.56 ; 20.00 ;;;;;
ZC454/REFLEKTOR-IP40+DimDSI;T5;1;T5 - 475 x 1220 x 90; 170.48 ; 20.00 ;;;;;
ZC454/REFLEKTOR-IP40+NZ;T5;1;T5 - 475 x 1220 x 90; 152.24 ; 20.00 ;;;;;
ZC435/REFLEKTOR-IP40;T5;1;T5 - 475 x 1520 x 90; 125.76 ; 20.00 ;;;;;
ZC435/REFLEKTOR-IP40+Dim1-10V;T5;1;T5 - 475 x 1520 x 90; 163.48 ; 20.00 ;;;;;
ZC435/REFLEKTOR-IP40+DimDALI;T5;1;T5 - 475 x 1520 x 90; 173.08 ; 20.00 ;;;;;
ZC435/REFLEKTOR-IP40+DimDSI;T5;1;T5 - 475 x 1520 x 90; 182.00 ; 20.00 ;;;;;
ZC435/REFLEKTOR-IP40+NZ;T5;1;T5 - 475 x 1520 x 90; 163.76 ; 20.00 ;;;;;
ZC449/REFLEKTOR-IP40;T5;1;T5 - 475 x 1520 x 90; 125.76 ; 20.00 ;;;;;
ZC449/REFLEKTOR-IP40+Dim1-10V;T5;1;T5 - 475 x 1520 x 90; 163.48 ; 20.00 ;;;;;
