Référence;Label;En Vente;Description;Prix vente HT;taux TVA;poids;volume;Image;Code douanier;code_barre
16601;FARO T45 E14 9W 5000K;1;;5,10;20;;;;;8421776007208
16603;FARO T45 E14 11W 5000K;1;;5,10;20;;;;;8421776007222
16604;FARO T45 E27 11W 5000K;1;;5,10;20;;;;;8421776007260
16620;FARO MICRO ESPIRAL 11W E27 5000K;1;;4,74;20;;;;;8421776166202
16621;FARO MICRO ESPIRAL 11W E14 5000 K;1;;4,74;20;;;;;8421776023802
16622;FARO MICRO ESPIRAL E27 15W 5000K;1;;4,95;20;;;;;8421776166226
16623;FARO MICROESPIRAL E14 15W 5000K;1;;4,95;20;;;;;8421776022478
17050;FARO GU10 3W LED 3000K 250Lm;1;;5,95;20;;;;;8421776064614
17057;E14 ESTANDAR LED 5W 3000K;1;;8,50;20;;;;;8421776076860
17058;FARO E27 ESTANDAR LED 8W 3000K 810Lm;1;;11,90;20;;;;;8421776064997
17059;FARO E27 ESTANDAR LED 8W 5000K 810Lm;1;;11,90;20;;;;;8421776065000
17060;FARO E27 ESTANDAR LED 11W 3000K 1055Lm;1;;15,28;20;;;;;8421776064584
17061;FARO E27 ESTANDAR DIMABLE LED 11W 3000K 1055Lm;1;;18,00;20;;;;;8421776064591
17062;ESTANDAR SENSOR LED 10W 4000K 1020Lm;1;;16,72;20;;;;;8421776086395
17200;GLOBO E27 LED 15W 3000K 1200Lm;1;;36,00;20;;;;;8421776064553
17202;GLOBO E27 LED 9W 2700K;1;;26,66;20;;;;;8421776076563
17203;GLOBO E27 LED 9W 5000K;1;;26,66;20;;;;;8421776076570
17204;E27 GLOBO LED 12W 2700K;1;;30,14;20;;;;;8421776076587
17280;FARO E14 VELA LED 3W 3000K 250Lm;1;;6,46;20;;;;;8421776064560
17310;GU10 LED 7W 2700K 36º;1;;9,00;20;;;;;8421776064515
17311;GU10 LED 7W 4000K 36º;1;;9,00;20;;;;;8421776064522
17312;MR16 LED 7W 2700K 36º;1;;12,80;20;;;;;8421776064539
17313;MR16 LED 7W 4000K 36º;1;;12,80;20;;;;;8421776064546
17314;GU10 LED 7W 2700K 36° DIMABLE;1;;15,28;20;;;;;8421776076488
17315;GU10 LED 7W 4000K 36° DIMABLE;1;;15,28;20;;;;;8421776076495
17316;GU10 LED 8W 2700K 38°;1;;9,95;20;;;;;8421776086227
17317;GU10 LED 8W 4000K 38°;1;;9,95;20;;;;;8421776086234
17339;G9 LED 2,5W 3000K;1;;7,75;20;;;;;8421776085985
17399;PAR38 E27 LED 10W VERDE 4000K;1;;18,84;20;;;;;8421776084780
17400;PAR38 E27 LED 10W BLANCA 4000K;1;;18,84;20;;;;;8421776064577
17401;PAR30 E27 LED 15W 2700K 30°;1;;44,32;20;;;;;8421776076464
17402;PAR30 E27 LED 24W 2700K 25°;1;;55,12;20;;;;;8421776076471
17410;GX53 LED 6W 3000K;1;;24,45;20;;;;;8421776064966
17422;PEBETERO FILAMENTO LED E27 4W 2700K;1;;19,60;20;;;;;8421776076815
17423;GLOBO FILAMENTO LED E27 4W 2700K;1;;19,60;20;;;;;8421776076822
17426;ESTANDAR FILAMENTO LED AMBAR E27 4W 2200K;1;;13,90;20;;;;;8421776086302
17427;VELA FILAMENTO LED AMBAR E14 2W 2200K;1;;9,40;20;;;;;8421776086180
17428;PEBETERO FILAMENTO LED AMBAR E27 4W 2200K;1;;21,10;20;;;;;8421776085770
17429;GLOBO FILAMENTO LED AMBAR E27 4W 2200K;1;;21,10;20;;;;;8421776085787
17430;R50 E14 LED 4W 2700K;1;;9,25;20;;;;;8421776076440
17431;R63 E27 LED 5W 2700K;1;;9,95;20;;;;;8421776076457
17440;G9 LED 3W 2900K-3300K;1;;10,40;20;;;;;8421776076426
17441;G9 LED 3W 4000K;1;;10,40;20;;;;;8421776076433
17442;G4 LED 1,5W 2900K-3200K 100Lm;1;;6,38;20;;;;;8421776076396
17450;VELA MATE LED E14 3W 2700K;1;;7,60;20;;;;;8421776085732
17451;G45 MATE LED E14 3W 2700K;1;;7,10;20;;;;;8421776085749
17452;G45 MATE LED E27 3W 2700K;1;;7,50;20;;;;;8421776085756
17453;ESTANDAR MATE LED E27 7W 2700K;1;;11,90;20;;;;;8421776085763
17454;ESTANDAR MATE LED E27 7W 4000K;1;;11,90;20;;;;;8421776085961
17455;G45 MATE LED E27 3W 4000K;1;;7,50;20;;;;;8421776085978
17500;MODULO LED 8W 2700K 60°;1;;25,79;20;;;;;8421776086319
17501;MODULO LED 8W 4000K 60°;1;;25,79;20;;;;;8421776086326
17511;AR111 NEGRO LED 20W 4000K 30°;1;;75,58;20;;;;;8421776066601
17512;AR111 G53 LED 10W 2700K 35°;1;;56,51;20;;;;;8421776076846
17513;AR111 G53 LED 15W 2700K 45°;1;;73,16;20;;;;;8421776076853
17517;AR111 GU10 15W 2700K 35° DIMABLE;1;;78,95;20;;;;;8421776078352
19026;BLISTER TIRA LED  60LED 4.8W  1M 2700-3000K;1;;36,00;20;;;;;8421776022515
19027;BLISTER TIRA LED 120LED 9.6W 2MT 2700-3000K;1;;52,00;20;;;;;8421776022522
19028;TIRA LED 36W 24Vdc BLANCO CALIDO 5 MT IP65;1;;42,00;20;;;;;8421776086081
19029;TIRA LED 36W 24Vdc BLANCO FRIO 5 MT IP65;1;;42,00;20;;;;;8421776086104
19030;TIRA LED 36W 24Vdc RGB 5 MT IP65;1;;44,12;20;;;;;8421776086128
19031;FUENTE DE ALIMENTACION 5 MTS 36W 24V;1;;23,00;20;;;;;8421776086074
19032;KIT MANDO A DISTANCIA RGB 24V;1;;14,00;20;;;;;8421776086098
19034;CONECTOR MONOCOLOR CON JACK;1;;3,80;20;;;;;8421776086111
19035;CONECTOR RGB CON JACK;1;;3,80;20;;;;;8421776086135
19036;CONECTOR MONOCOLOR CON CABLE;1;;3,80;20;;;;;8421776086142
19037;CONECTOR RGB CON CABLE;1;;3,80;20;;;;;8421776086159
19038;CONECTOR MONOCOLOR;1;;3,00;20;;;;;8421776086166
