Identifiant société,Raison sociale,Adresse,Code postal,Ville,Code pays,Téléphone,Identifiant professionnel 1,Identifiant professionnel 2,Identifiant professionnel 3,Identifiant professionnel 4,Compte comptable client,Compte comptable fournisseur,Numéro de TVA,Id facture,Réf. facture,Date création facture,Date facturation,Date échéance,Total HT,Total TTC,Total TVA,Facture payée,Statut facture,Note (privée),Note (publique),Id paiement,Montant paiement,Date paiement,Numéro paiement,New line,
13,RESIDENCE DU LAC SARL,Chemin de la Haguette,27700,TOSNY,FR,,,,,,90RESID,,,22,FA1301-0018,2013-01-07 08:52:22,2013-01-07,2013-01-22,1186.00000000,1418.46000000,232.46000000,1,2,,,18,1418.46000000,2013-01-10 12:00:00,,,
13,RESIDENCE DU LAC SARL,Chemin de la Haguette,27700,TOSNY,FR,,,,,,90RESID,,,30,FA1302-0028,2013-02-04 15:03:12,2013-02-04,2013-02-19,1186.00000000,1418.46000000,232.46000000,1,2,,,22,1418.46000000,2013-02-11 12:00:00,,,
13,RESIDENCE DU LAC SARL,Chemin de la Haguette,27700,TOSNY,FR,,,,,,90RESID,,,38,FA1303-0035,2013-03-07 16:55:15,2013-03-07,2013-03-22,1186.00000000,1418.46000000,232.46000000,1,2,,,28,1418.46000000,2013-03-13 12:00:00,,,
13,RESIDENCE DU LAC SARL,Chemin de la Haguette,27700,TOSNY,FR,,,,,,90RESID,,,52,FA1304-0048,2013-04-02 09:55:18,2013-04-02,2013-04-17,1186.00000000,1418.46000000,232.46000000,1,2,,,33,1418.46000000,2013-04-10 12:00:00,,,
13,RESIDENCE DU LAC SARL,Chemin de la Haguette,27700,TOSNY,FR,,,,,,90RESID,,,62,FA1305-0057,2013-05-04 19:12:25,2013-05-06,2013-05-21,1186.00000000,1418.46000000,232.46000000,1,2,,,42,1418.46000000,2013-05-10 12:00:00,,,
13,RESIDENCE DU LAC SARL,Chemin de la Haguette,27700,TOSNY,FR,,,,,,90RESID,,,79,FA1306-0074,2013-06-03 15:00:34,2013-06-03,2013-06-18,1186.00000000,1418.46000000,232.46000000,1,2,,,50,1418.46000000,2013-06-10 12:00:00,,,
13,RESIDENCE DU LAC SARL,Chemin de la Haguette,27700,TOSNY,FR,,,,,,90RESID,,,101,FA1307-0090,2013-07-02 11:00:30,2013-07-02,2013-07-17,1186.00000000,1418.46000000,232.46000000,1,2,,,60,1418.46000000,2013-07-10 12:00:00,,,
13,RESIDENCE DU LAC SARL,Chemin de la Haguette,27700,TOSNY,FR,,,,,,90RESID,,,134,FA1308-0123,2013-08-05 17:45:39,2013-08-05,2013-08-20,1186.00000000,1418.46000000,232.46000000,1,2,,,71,1418.46000000,2013-08-12 12:00:00,,,
13,RESIDENCE DU LAC SARL,Chemin de la Haguette,27700,TOSNY,FR,,,,,,90RESID,,,143,FA1309-0131,2013-09-02 11:07:05,2013-09-02,2013-09-17,1186.00000000,1418.46000000,232.46000000,1,2,,,74,1418.46000000,2013-09-10 12:00:00,,,
13,RESIDENCE DU LAC SARL,Chemin de la Haguette,27700,TOSNY,FR,,,,,,90RESID,,,164,FA1310-0152,2013-10-07 22:49:31,2013-10-07,2013-10-22,1186.00000000,1418.46000000,232.46000000,1,2,,,99,1418.46000000,2013-10-10 12:00:00,,,
13,RESIDENCE DU LAC SARL,Chemin de la Haguette,27700,TOSNY,FR,,,,,,90RESID,,,189,FA1311-0174,2013-11-08 07:52:06,2013-11-08,2013-11-23,1186.00000000,1418.46000000,232.46000000,1,2,,,109,1418.46000000,2013-11-12 12:00:00,,,
13,RESIDENCE DU LAC SARL,Chemin de la Haguette,27700,TOSNY,FR,,,,,,90RESID,,,212,FA1312-0196,2013-12-02 08:30:04,2013-12-02,2013-12-17,1186.00000000,1418.46000000,232.46000000,1,2,,,116,1418.46000000,2013-12-10 12:00:00,,,
13,RESIDENCE DU LAC SARL,Chemin de la Haguette,27700,TOSNY,FR,,,,,,90RESID,,,243,FA1401-0225,2014-01-15 16:44:31,2014-01-15,2014-01-30,1186.00000000,1423.20000000,237.20000000,0,2,,,128,1418.46000000,2014-01-10 12:00:00,,,
13,RESIDENCE DU LAC SARL,Chemin de la Haguette,27700,TOSNY,FR,,,,,,90RESID,,,261,FA1402-0244,2014-02-03 10:29:06,2014-02-03,2014-02-18,1186.00000000,1423.20000000,237.20000000,1,2,,,137,1423.20000000,2014-02-10 12:00:00,,,
13,RESIDENCE DU LAC SARL,Chemin de la Haguette,27700,TOSNY,FR,,,,,,90RESID,,,280,FA1403-0260,2014-03-07 11:23:45,2014-03-07,2014-03-22,1186.00000000,1423.20000000,237.20000000,1,2,,,150,1423.20000000,2014-03-10 12:00:00,,,
13,RESIDENCE DU LAC SARL,Chemin de la Haguette,27700,TOSNY,FR,,,,,,90RESID,,,302,FA1404-0282,2014-04-09 11:37:16,2014-04-09,2014-04-24,1186.00000000,1423.20000000,237.20000000,1,2,,,158,1423.20000000,2014-05-12 12:00:00,,,
13,RESIDENCE DU LAC SARL,Chemin de la Haguette,27700,TOSNY,FR,,,,,,90RESID,,,326,FA1405-0304,2014-05-19 09:54:21,2014-05-09,2014-05-24,1186.00000000,1423.20000000,237.20000000,1,2,,,162,1423.20000000,2014-05-12 12:00:00,,,
13,RESIDENCE DU LAC SARL,Chemin de la Haguette,27700,TOSNY,FR,,,,,,90RESID,,,349,FA1406-0316,2014-06-13 09:34:36,2014-06-13,2014-06-28,1186.00000000,1423.20000000,237.20000000,1,2,,,177,1423.20000000,2014-06-10 12:00:00,,0,
13,RESIDENCE DU LAC SARL,Chemin de la Haguette,27700,TOSNY,FR,,,,,,90RESID,,,393,FA1407-0355,2014-07-09 16:55:07,2014-07-09,2014-07-24,1186.00000000,1423.20000000,237.20000000,1,2,,,181,1423.20000000,2014-07-11 12:00:00,,0,
13,RESIDENCE DU LAC SARL,Chemin de la Haguette,27700,TOSNY,FR,,,,,,90RESID,,,417,FA1408-0373,2014-08-08 11:06:46,2014-08-08,2014-08-23,1186.00000000,1423.20000000,237.20000000,1,2,,,199,1423.20000000,2014-09-16 12:00:00,,0,
13,RESIDENCE DU LAC SARL,Chemin de la Haguette,27700,TOSNY,FR,,,,,,90RESID,,,449,FA1409-0394,2014-09-09 17:43:04,2014-09-09,2014-09-24,1186.00000000,1423.20000000,237.20000000,1,2,,,199,1423.20000000,2014-09-16 12:00:00,,0,
13,RESIDENCE DU LAC SARL,Chemin de la Haguette,27700,TOSNY,FR,,,,,,90RESID,,,531,FA1410-0422,2014-10-10 16:14:27,2014-10-10,2014-10-25,1186.00000000,1423.20000000,237.20000000,1,2,,,237,1423.20000000,2014-11-10 12:00:00,,0,
13,RESIDENCE DU LAC SARL,Chemin de la Haguette,27700,TOSNY,FR,,,,,,90RESID,,,585,FA1411-0470,2014-11-14 07:32:41,2014-11-05,2014-11-20,1186.00000000,1423.20000000,237.20000000,1,2,,,237,1423.20000000,2014-11-10 12:00:00,,0,
13,RESIDENCE DU LAC SARL,Chemin de la Haguette,27700,TOSNY,FR,,,,,,90RESID,,,628,FA1412-0509,2014-12-23 22:48:57,2014-12-05,2014-12-20,1186.00000000,1423.20000000,237.20000000,1,2,,,262,1423.20000000,2014-12-10 12:00:00,,0,
13,RESIDENCE DU LAC SARL,Chemin de la Haguette,27700,TOSNY,FR,,,,,,90RESID,,,663,FA1501-0544,2015-01-06 01:30:40,2015-01-05,2015-01-20,1186.00000000,1423.20000000,237.20000000,1,2,,,275,1423.20000000,2015-01-12 12:00:00,,0,
13,RESIDENCE DU LAC SARL,Chemin de la Haguette,27700,TOSNY,FR,,,,,,90RESID,,,695,FA1502-0575,2015-02-13 10:58:03,2015-02-05,2015-02-20,1186.00000000,1423.20000000,237.20000000,1,2,,,299,1423.20000000,2015-02-10 12:00:00,,0,
